,Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Medal,Gold,Silver,Bronze
12509,Mexico (1968),1968,Rowing,Rowing,Jorn Krab,DEN,Men,pair-oared shell with coxswain (2+) men,Bronze,0,0,1
12510,Mexico (1968),1968,Rowing,Rowing,Preben Krab,DEN,Men,pair-oared shell with coxswain (2+) men,Bronze,0,0,1
12511,Mexico (1968),1968,Rowing,Rowing,Primo Baran,ITA,Men,pair-oared shell with coxswain (2+) men,Gold,1,0,0
12512,Mexico (1968),1968,Rowing,Rowing,Bruno Cipolla,ITA,Men,pair-oared shell with coxswain (2+) men,Gold,1,0,0
12513,Mexico (1968),1968,Rowing,Rowing,Renzo Sambo,ITA,Men,pair-oared shell with coxswain (2+) men,Gold,1,0,0
12514,Mexico (1968),1968,Rowing,Rowing,Roderick Falesca Rene Rijnders,NED,Men,pair-oared shell with coxswain (2+) men,Silver,0,1,0
12515,Mexico (1968),1968,Rowing,Rowing,Herman Johan Suselbeek,NED,Men,pair-oared shell with coxswain (2+) men,Silver,0,1,0
12516,Mexico (1968),1968,Rowing,Rowing,Hadriaan Van nes,NED,Men,pair-oared shell with coxswain (2+) men,Silver,0,1,0
12517,Mexico (1968),1968,Rowing,Rowing,Alberto Demiddi,ARG,Men,single sculls (1x) men,Bronze,0,0,1
12518,Mexico (1968),1968,Rowing,Rowing,Henri-Jan Wienese,NED,Men,single sculls (1x) men,Gold,1,0,0
12519,Mexico (1968),1968,Rowing,Rowing,Jochen Meissner,FRG,Men,single sculls (1x) men,Silver,0,1,0
12520,Mexico (1968),1968,Sailing,Sailing,Robin Allingham Aisher,GBR,Men,5.5m,Bronze,0,0,1
12521,Mexico (1968),1968,Sailing,Sailing,Paul Richard Anderson,GBR,Men,5.5m,Bronze,0,0,1
12522,Mexico (1968),1968,Sailing,Sailing,Adrian Jardine,GBR,Men,5.5m,Bronze,0,0,1
12523,Mexico (1968),1968,Sailing,Sailing,Jörgen Sundelin,SWE,Men,5.5m,Gold,1,0,0
12524,Mexico (1968),1968,Sailing,Sailing,Peter Sundelin,SWE,Men,5.5m,Gold,1,0,0
12525,Mexico (1968),1968,Sailing,Sailing,Ulf Sundelin,SWE,Men,5.5m,Gold,1,0,0
12526,Mexico (1968),1968,Sailing,Sailing,Bernard Dunand,SUI,Men,5.5m,Silver,0,1,0
12527,Mexico (1968),1968,Sailing,Sailing,Louis Noverraz,SUI,Men,5.5m,Silver,0,1,0
12528,Mexico (1968),1968,Sailing,Sailing,Marcel Stern,SUI,Men,5.5m,Silver,0,1,0
12529,Mexico (1968),1968,Sailing,Sailing,Paul Borowski,GDR,Men,dragon,Bronze,0,0,1
12530,Mexico (1968),1968,Sailing,Sailing,Karl-Heinz Thun,GDR,Men,dragon,Bronze,0,0,1
12531,Mexico (1968),1968,Sailing,Sailing,Konrad Weichert,GDR,Men,dragon,Bronze,0,0,1
12532,Mexico (1968),1968,Sailing,Sailing,George Shelby Jr. Friedrichs,USA,Men,dragon,Gold,1,0,0
12533,Mexico (1968),1968,Sailing,Sailing,Barton Williams Jahncke,USA,Men,dragon,Gold,1,0,0
12534,Mexico (1968),1968,Sailing,Sailing,Gerald Click Schreck,USA,Men,dragon,Gold,1,0,0
12535,Mexico (1968),1968,Sailing,Sailing,Aage Birch,DEN,Men,dragon,Silver,0,1,0
12536,Mexico (1968),1968,Sailing,Sailing,Poul Richard Hoj Jensen,DEN,Men,dragon,Silver,0,1,0
12537,Mexico (1968),1968,Sailing,Sailing,Niels Peter Markussen,DEN,Men,dragon,Silver,0,1,0
12538,Mexico (1968),1968,Sailing,Sailing,Reinaldo Conrad,BRA,Men,flying dutchman,Bronze,0,0,1
12539,Mexico (1968),1968,Sailing,Sailing,Burkhard Cordes,BRA,Men,flying dutchman,Bronze,0,0,1
12540,Mexico (1968),1968,Sailing,Sailing,Iain Somerled Macdonald-smith,GBR,Men,flying dutchman,Gold,1,0,0
12541,Mexico (1968),1968,Sailing,Sailing,Rodney Stuart Pattisson,GBR,Men,flying dutchman,Gold,1,0,0
12542,Mexico (1968),1968,Sailing,Sailing,Ullrich Libor,FRG,Men,flying dutchman,Silver,0,1,0
12543,Mexico (1968),1968,Sailing,Sailing,Peter Naumann,FRG,Men,flying dutchman,Silver,0,1,0
12544,Mexico (1968),1968,Sailing,Sailing,Fabio Albarelli,ITA,Men,single-handed dinghy (Finn) men,Bronze,0,0,1
12545,Mexico (1968),1968,Sailing,Sailing,Valentyn Mankin,URS,Men,single-handed dinghy (Finn) men,Gold,1,0,0
12546,Mexico (1968),1968,Sailing,Sailing,Hubert Raudaschl,AUT,Men,single-handed dinghy (Finn) men,Silver,0,1,0
12547,Mexico (1968),1968,Sailing,Sailing,Franco Cavallo,ITA,Men,two-person keelboat open (Star),Bronze,0,0,1
12548,Mexico (1968),1968,Sailing,Sailing,Camillo Gargano,ITA,Men,two-person keelboat open (Star),Bronze,0,0,1
12549,Mexico (1968),1968,Sailing,Sailing,Peter Jones Barrett,USA,Men,two-person keelboat open (Star),Gold,1,0,0
12550,Mexico (1968),1968,Sailing,Sailing,Lowell Orton North,USA,Men,two-person keelboat open (Star),Gold,1,0,0
12551,Mexico (1968),1968,Sailing,Sailing,Peder Jr. Lunde,NOR,Men,two-person keelboat open (Star),Silver,0,1,0
12552,Mexico (1968),1968,Sailing,Sailing,Per Olav Wiken,NOR,Men,two-person keelboat open (Star),Silver,0,1,0
12553,Mexico (1968),1968,Shooting,Shooting,Renart Suleimanov,URS,Men,25m rapid fire pistol (60 shots) men,Bronze,0,0,1
12554,Mexico (1968),1968,Shooting,Shooting,Jozef Zapedzki,POL,Men,25m rapid fire pistol (60 shots) men,Gold,1,0,0
12555,Mexico (1968),1968,Shooting,Shooting,Marcel Rosca,ROU,Men,25m rapid fire pistol (60 shots) men,Silver,0,1,0
12556,Mexico (1968),1968,Shooting,Shooting,Kurt Müller,SUI,Men,300m free rifle 3 positions (3x40 shots) men,Bronze,0,0,1
12557,Mexico (1968),1968,Shooting,Shooting,Gary Lee Anderson,USA,Men,300m free rifle 3 positions (3x40 shots) men,Gold,1,0,0
12558,Mexico (1968),1968,Shooting,Shooting,Valentin Kornev,URS,Men,300m free rifle 3 positions (3x40 shots) men,Silver,0,1,0
12559,Mexico (1968),1968,Shooting,Shooting,Harald Vollmar,GDR,Men,50m pistol (60 shots) men,Bronze,0,0,1
12560,Mexico (1968),1968,Shooting,Shooting,Grigori Kosykh,URS,Men,50m pistol (60 shots) men,Gold,1,0,0
12561,Mexico (1968),1968,Shooting,Shooting,Heinz Mertel,FRG,Men,50m pistol (60 shots) men,Silver,0,1,0
12562,Mexico (1968),1968,Shooting,Shooting,Vitali Parkhimovich,URS,Men,50m rifle 3 positions (3x40 shots) men,Bronze,0,0,1
12563,Mexico (1968),1968,Shooting,Shooting,Bernd Klingner,FRG,Men,50m rifle 3 positions (3x40 shots) men,Gold,1,0,0
12564,Mexico (1968),1968,Shooting,Shooting,John Henry Writer,USA,Men,50m rifle 3 positions (3x40 shots) men,Silver,0,1,0
12565,Mexico (1968),1968,Shooting,Shooting,Ian Roy Ballinger,NZL,Men,50m rifle prone (60 shots) men,Bronze,0,0,1
12566,Mexico (1968),1968,Shooting,Shooting,Jan Kurka,TCH,Men,50m rifle prone (60 shots) men,Gold,1,0,0
12567,Mexico (1968),1968,Shooting,Shooting,Laszlo Hammerl,HUN,Men,50m rifle prone (60 shots) men,Silver,0,1,0
12568,Mexico (1968),1968,Shooting,Shooting,Konrad Wirnhier,FRG,Men,skeet (125 targets) men,Bronze,0,0,1
12569,Mexico (1968),1968,Shooting,Shooting,Yevgeni Petrov,URS,Men,skeet (125 targets) men,Gold,1,0,0
12570,Mexico (1968),1968,Shooting,Shooting,Romano Garagnani,ITA,Men,skeet (125 targets) men,Silver,0,1,0
12571,Mexico (1968),1968,Shooting,Shooting,Kurt Czekalla,GDR,Men,trap (125 targets) men,Bronze,0,0,1
12572,Mexico (1968),1968,Shooting,Shooting,John Robert Braithwaite,GBR,Men,trap (125 targets) men,Gold,1,0,0
12573,Mexico (1968),1968,Shooting,Shooting,Thomas Irvin Garrigus,USA,Men,trap (125 targets) men,Silver,0,1,0
12574,Mexico (1968),1968,Volleyball,Volleyball,Bohumil Golian,TCH,Men,volleyball men,Bronze,0,0,1
12575,Mexico (1968),1968,Volleyball,Volleyball,Zdenek Groessel,TCH,Men,volleyball men,Bronze,0,0,1
12576,Mexico (1968),1968,Volleyball,Volleyball,Petr Kop,TCH,Men,volleyball men,Bronze,0,0,1
12577,Mexico (1968),1968,Volleyball,Volleyball,Drahomir Koudelka,TCH,Men,volleyball men,Bronze,0,0,1
12578,Mexico (1968),1968,Volleyball,Volleyball,Josef Musil,TCH,Men,volleyball men,Bronze,0,0,1
12579,Mexico (1968),1968,Volleyball,Volleyball,Vladimir Petlak,TCH,Men,volleyball men,Bronze,0,0,1
12580,Mexico (1968),1968,Volleyball,Volleyball,Antonin Prochazka,TCH,Men,volleyball men,Bronze,0,0,1
12581,Mexico (1968),1968,Volleyball,Volleyball,Pavel Schenk,TCH,Men,volleyball men,Bronze,0,0,1
12582,Mexico (1968),1968,Volleyball,Volleyball,Josef Smolka,TCH,Men,volleyball men,Bronze,0,0,1
12583,Mexico (1968),1968,Volleyball,Volleyball,Frantisek Sokol,TCH,Men,volleyball men,Bronze,0,0,1
12584,Mexico (1968),1968,Volleyball,Volleyball,Jiri Svoboda,TCH,Men,volleyball men,Bronze,0,0,1
12585,Mexico (1968),1968,Volleyball,Volleyball,Lubomir Zajisek,TCH,Men,volleyball men,Bronze,0,0,1
12586,Mexico (1968),1968,Volleyball,Volleyball,Oleg Antropov,URS,Men,volleyball men,Gold,1,0,0
12587,Mexico (1968),1968,Volleyball,Volleyball,Vladimir Belyaev,URS,Men,volleyball men,Gold,1,0,0
12588,Mexico (1968),1968,Volleyball,Volleyball,Ivan Bugaenkov,URS,Men,volleyball men,Gold,1,0,0
12589,Mexico (1968),1968,Volleyball,Volleyball,Vladimir Ivanov,URS,Men,volleyball men,Gold,1,0,0
12590,Mexico (1968),1968,Volleyball,Volleyball,Valeri Kravchenko,URS,Men,volleyball men,Gold,1,0,0
12591,Mexico (1968),1968,Volleyball,Volleyball,Yevgeni Lapinsky,URS,Men,volleyball men,Gold,1,0,0
12592,Mexico (1968),1968,Volleyball,Volleyball,Vasilius Matushevas,URS,Men,volleyball men,Gold,1,0,0
12593,Mexico (1968),1968,Volleyball,Volleyball,Viktor Mikhalchuk,URS,Men,volleyball men,Gold,1,0,0
12594,Mexico (1968),1968,Volleyball,Volleyball,Georgi Mondzolevsky,URS,Men,volleyball men,Gold,1,0,0
12595,Mexico (1968),1968,Volleyball,Volleyball,Yuri Poyarkov,URS,Men,volleyball men,Gold,1,0,0
12596,Mexico (1968),1968,Volleyball,Volleyball,Eduard Sibiryakov,URS,Men,volleyball men,Gold,1,0,0
12597,Mexico (1968),1968,Volleyball,Volleyball,Boris Tereshchuk,URS,Men,volleyball men,Gold,1,0,0
12598,Mexico (1968),1968,Volleyball,Volleyball,Nachiro Ikeda,JPN,Men,volleyball men,Silver,0,1,0
12599,Mexico (1968),1968,Volleyball,Volleyball,Kenji Kimura,JPN,Men,volleyball men,Silver,0,1,0
12600,Mexico (1968),1968,Volleyball,Volleyball,Isao Koizumi,JPN,Men,volleyball men,Silver,0,1,0
12601,Mexico (1968),1968,Volleyball,Volleyball,Masayuki Minami,JPN,Men,volleyball men,Silver,0,1,0
12602,Mexico (1968),1968,Volleyball,Volleyball,Yasuaki Mitsumori,JPN,Men,volleyball men,Silver,0,1,0
12603,Mexico (1968),1968,Volleyball,Volleyball,Jungo Morita,JPN,Men,volleyball men,Silver,0,1,0
12604,Mexico (1968),1968,Volleyball,Volleyball,Katsutoshi Nekoda,JPN,Men,volleyball men,Silver,0,1,0
12605,Mexico (1968),1968,Volleyball,Volleyball,Seiji Oko,JPN,Men,volleyball men,Silver,0,1,0
12606,Mexico (1968),1968,Volleyball,Volleyball,Tetsuo Sato,JPN,Men,volleyball men,Silver,0,1,0
12607,Mexico (1968),1968,Volleyball,Volleyball,Kenji Shimaoka,JPN,Men,volleyball men,Silver,0,1,0
12608,Mexico (1968),1968,Volleyball,Volleyball,Mamoru Shiragami,JPN,Men,volleyball men,Silver,0,1,0
12609,Mexico (1968),1968,Volleyball,Volleyball,Tadayoshi Yokota,JPN,Men,volleyball men,Silver,0,1,0
12610,Mexico (1968),1968,Volleyball,Volleyball,Halina Askielowicz,POL,Women,volleyball women,Bronze,0,0,1
12611,Mexico (1968),1968,Volleyball,Volleyball,Lidia Chmielnicka,POL,Women,volleyball women,Bronze,0,0,1
12612,Mexico (1968),1968,Volleyball,Volleyball,Krystyna Czajkowska,POL,Women,volleyball women,Bronze,0,0,1
12613,Mexico (1968),1968,Volleyball,Volleyball,Barbara Wieslawa Hermela-niemczyk,POL,Women,volleyball women,Bronze,0,0,1
12614,Mexico (1968),1968,Volleyball,Volleyball,Krystyna Jakubowska,POL,Women,volleyball women,Bronze,0,0,1
12615,Mexico (1968),1968,Volleyball,Volleyball,Krystyna Krup,POL,Women,volleyball women,Bronze,0,0,1
12616,Mexico (1968),1968,Volleyball,Volleyball,Jozefa Ledwig,POL,Women,volleyball women,Bronze,0,0,1
12617,Mexico (1968),1968,Volleyball,Volleyball,Jadwiga Marko-ksiazek,POL,Women,volleyball women,Bronze,0,0,1
12618,Mexico (1968),1968,Volleyball,Volleyball,Krystyna Ostromecka,POL,Women,volleyball women,Bronze,0,0,1
12619,Mexico (1968),1968,Volleyball,Volleyball,Elzbieta Porzec,POL,Women,volleyball women,Bronze,0,0,1
12620,Mexico (1968),1968,Volleyball,Volleyball,Zofia Szczesniewska,POL,Women,volleyball women,Bronze,0,0,1
12621,Mexico (1968),1968,Volleyball,Volleyball,Wanda Wiecha,POL,Women,volleyball women,Bronze,0,0,1
12622,Mexico (1968),1968,Volleyball,Volleyball,Lyudmila Buldakova,URS,Women,volleyball women,Gold,1,0,0
12623,Mexico (1968),1968,Volleyball,Volleyball,Vera Galushka-duyunova,URS,Women,volleyball women,Gold,1,0,0
12624,Mexico (1968),1968,Volleyball,Volleyball,Valentina Kamenek-vinogradova,URS,Women,volleyball women,Gold,1,0,0
12625,Mexico (1968),1968,Volleyball,Volleyball,Vera Lantratova,URS,Women,volleyball women,Gold,1,0,0
12626,Mexico (1968),1968,Volleyball,Volleyball,Galina Leontyeva,URS,Women,volleyball women,Gold,1,0,0
12627,Mexico (1968),1968,Volleyball,Volleyball,Lyudmila Mikhailovskaya,URS,Women,volleyball women,Gold,1,0,0
12628,Mexico (1968),1968,Volleyball,Volleyball,Tatyana Ponyaeva-tretyakova,URS,Women,volleyball women,Gold,1,0,0
12629,Mexico (1968),1968,Volleyball,Volleyball,Inna Ryskal,URS,Women,volleyball women,Gold,1,0,0
12630,Mexico (1968),1968,Volleyball,Volleyball,Roza Salikhova,URS,Women,volleyball women,Gold,1,0,0
12631,Mexico (1968),1968,Volleyball,Volleyball,Tatyana Sarycheva,URS,Women,volleyball women,Gold,1,0,0
12632,Mexico (1968),1968,Volleyball,Volleyball,Nina Smoleeva,URS,Women,volleyball women,Gold,1,0,0
12633,Mexico (1968),1968,Volleyball,Volleyball,Tatyana Veinberga,URS,Women,volleyball women,Gold,1,0,0
12634,Mexico (1968),1968,Volleyball,Volleyball,Sachiko Fukunaka,JPN,Women,volleyball women,Silver,0,1,0
12635,Mexico (1968),1968,Volleyball,Volleyball,Makiko Furukawa,JPN,Women,volleyball women,Silver,0,1,0
12636,Mexico (1968),1968,Volleyball,Volleyball,Keiko Hama,JPN,Women,volleyball women,Silver,0,1,0
12637,Mexico (1968),1968,Volleyball,Volleyball,Setsuko Inoue,JPN,Women,volleyball women,Silver,0,1,0
12638,Mexico (1968),1968,Volleyball,Volleyball,Toyoko Iwahara,JPN,Women,volleyball women,Silver,0,1,0
12639,Mexico (1968),1968,Volleyball,Volleyball,Youko Kasahara,JPN,Women,volleyball women,Silver,0,1,0
12640,Mexico (1968),1968,Volleyball,Volleyball,Yukiyo Kojima,JPN,Women,volleyball women,Silver,0,1,0
12641,Mexico (1968),1968,Volleyball,Volleyball,Sumie Oinuma,JPN,Women,volleyball women,Silver,0,1,0
12642,Mexico (1968),1968,Volleyball,Volleyball,Aiko Onozawa,JPN,Women,volleyball women,Silver,0,1,0
12643,Mexico (1968),1968,Volleyball,Volleyball,Kunie Shishikura,JPN,Women,volleyball women,Silver,0,1,0
12644,Mexico (1968),1968,Volleyball,Volleyball,Suzue Takayama,JPN,Women,volleyball women,Silver,0,1,0
12645,Mexico (1968),1968,Volleyball,Volleyball,Setsuko Yoshida,JPN,Women,volleyball women,Silver,0,1,0
12646,Mexico (1968),1968,Weightlifting,Weightlifting,Henryk Trebicki,POL,Men,"- 56kg, total (bantamweight) men",Bronze,0,0,1
12647,Mexico (1968),1968,Weightlifting,Weightlifting,Mohammad Nassiri-seresht,IRI,Men,"- 56kg, total (bantamweight) men",Gold,1,0,0
12648,Mexico (1968),1968,Weightlifting,Weightlifting,Imre Földi,HUN,Men,"- 56kg, total (bantamweight) men",Silver,0,1,0
12649,Mexico (1968),1968,Weightlifting,Weightlifting,Joseph Douglas Dube,USA,Men,"+ 90kg, total (heavyweight) men",Bronze,0,0,1
12650,Mexico (1968),1968,Weightlifting,Weightlifting,Leonid Zhabotinsky,URS,Men,"+ 90kg, total (heavyweight) men",Gold,1,0,0
12651,Mexico (1968),1968,Weightlifting,Weightlifting,Serge Reding,BEL,Men,"+ 90kg, total (heavyweight) men",Silver,0,1,0
12652,Mexico (1968),1968,Weightlifting,Weightlifting,Yoshiyuki Miyake,JPN,Men,"56 - 60kg, total (featherweight) men",Bronze,0,0,1
12653,Mexico (1968),1968,Weightlifting,Weightlifting,Yoshinobu Miyake,JPN,Men,"56 - 60kg, total (featherweight) men",Gold,1,0,0
12654,Mexico (1968),1968,Weightlifting,Weightlifting,Dito Shanidze,URS,Men,"56 - 60kg, total (featherweight) men",Silver,0,1,0
12655,Mexico (1968),1968,Weightlifting,Weightlifting,Marian Zielinski,POL,Men,"60 - 67.5kg, total (lightweight) men",Bronze,0,0,1
12656,Mexico (1968),1968,Weightlifting,Weightlifting,Waldemar Baszanowski,POL,Men,"60 - 67.5kg, total (lightweight) men",Gold,1,0,0
12657,Mexico (1968),1968,Weightlifting,Weightlifting,Parviz Jalayer,IRI,Men,"60 - 67.5kg, total (lightweight) men",Silver,0,1,0
12658,Mexico (1968),1968,Weightlifting,Weightlifting,Karoly Bakos,HUN,Men,"67.5 - 75kg, total (middleweight) men",Bronze,0,0,1
12659,Mexico (1968),1968,Weightlifting,Weightlifting,Viktor Kurentsov,URS,Men,"67.5 - 75kg, total (middleweight) men",Gold,1,0,0
12660,Mexico (1968),1968,Weightlifting,Weightlifting,Masashi Ohuchi,JPN,Men,"67.5 - 75kg, total (middleweight) men",Silver,0,1,0
12661,Mexico (1968),1968,Weightlifting,Weightlifting,Norbert Ozimek,POL,Men,"75 - 82.5kg, total (light-heavyweight) men",Bronze,0,0,1
12662,Mexico (1968),1968,Weightlifting,Weightlifting,Boris Selitsky,URS,Men,"75 - 82.5kg, total (light-heavyweight) men",Gold,1,0,0
12663,Mexico (1968),1968,Weightlifting,Weightlifting,Vladimir Belyaev,URS,Men,"75 - 82.5kg, total (light-heavyweight) men",Silver,0,1,0
12664,Mexico (1968),1968,Weightlifting,Weightlifting,Marek Golab,POL,Men,"82.5 - 90kg, total (middle-heavyweight) men",Bronze,0,0,1
12665,Mexico (1968),1968,Weightlifting,Weightlifting,Kaarlo Olavi Kangasniemi,FIN,Men,"82.5 - 90kg, total (middle-heavyweight) men",Gold,1,0,0
12666,Mexico (1968),1968,Weightlifting,Weightlifting,Yan Talts,URS,Men,"82.5 - 90kg, total (middle-heavyweight) men",Silver,0,1,0
12667,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Sukhbaatar Surenjav,MGL,Men,- 52kg (flyweight) men,Bronze,0,0,1
12668,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Shigeo Nakata,JPN,Men,- 52kg (flyweight) men,Gold,1,0,0
12669,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Richard Joseph Sanders,USA,Men,- 52kg (flyweight) men,Silver,0,1,0
12670,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Wilfried Dietrich,FRG,Men,+ 97kg (heavyweight) men,Bronze,0,0,1
12671,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Aleksandr Medved,URS,Men,+ 97kg (heavyweight) men,Gold,1,0,0
12672,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Osman Duraliev,BUL,Men,+ 97kg (heavyweight) men,Silver,0,1,0
12673,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Abutaleb Gorgori,IRI,Men,52 - 57kg (bantamweight) men,Bronze,0,0,1
12674,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Yojiro Uetake,JPN,Men,52 - 57kg (bantamweight) men,Gold,1,0,0
12675,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Donald Rae Behm,USA,Men,52 - 57kg (bantamweight) men,Silver,0,1,0
12676,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Shamseddin Seyed-abbassi,IRI,Men,57 - 63kg (featherweight) men,Bronze,0,0,1
12677,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Masaki Kaneko,JPN,Men,57 - 63kg (featherweight) men,Gold,1,0,0
12678,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Enyu Dinev Todorov,BUL,Men,57 - 63kg (featherweight) men,Silver,0,1,0
12679,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Sereeter Danzandarjaa,MGL,Men,63 - 70kg (lightweight) men,Bronze,0,0,1
12680,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Abdollah Movahed-ardabili,IRI,Men,63 - 70kg (lightweight) men,Gold,1,0,0
12681,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Enyu Dimov Valtchev,BUL,Men,63 - 70kg (lightweight) men,Silver,0,1,0
12682,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Dagvasuren Purev,MGL,Men,70 - 78kg (welterweight) men,Bronze,0,0,1
12683,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Mahmut Atalay,TUR,Men,70 - 78kg (welterweight) men,Gold,1,0,0
12684,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Daniel Sauton Robin,FRA,Men,70 - 78kg (welterweight) men,Silver,0,1,0
12685,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Prodan Stoyanov Gardjev,BUL,Men,78 - 87kg (middleweight) men,Bronze,0,0,1
12686,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Boris Gurevich,URS,Men,78 - 87kg (middleweight) men,Gold,1,0,0
12687,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Munkbat Jigjidym,MGL,Men,78 - 87kg (middleweight) men,Silver,0,1,0
12688,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Jozsef Csatari,HUN,Men,87 - 97kg (light-heavyweight) men,Bronze,0,0,1
12689,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Ahmet Ayik,TUR,Men,87 - 97kg (light-heavyweight) men,Gold,1,0,0
12690,Mexico (1968),1968,Wrestling,Wrestling Freestyle,Shota Lomidze,URS,Men,87 - 97kg (light-heavyweight) men,Silver,0,1,0
12691,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Miroslav Zeman,TCH,Men,- 52kg (flyweight) men,Bronze,0,0,1
12692,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Petar Kirov,BUL,Men,- 52kg (flyweight) men,Gold,1,0,0
12693,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Vladimir Bakulin,URS,Men,- 52kg (flyweight) men,Silver,0,1,0
12694,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Petr Kment,TCH,Men,+ 97kg (super heavyweight) men,Bronze,0,0,1
12695,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Istvan Kozma,HUN,Men,+ 97kg (super heavyweight) men,Gold,1,0,0
12696,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Anatoli Roshchin,URS,Men,+ 97kg (super heavyweight) men,Silver,0,1,0
12697,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Ivan Kochergin,URS,Men,52 - 57kg (bantamweight) men,Bronze,0,0,1
12698,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Janos Varga,HUN,Men,52 - 57kg (bantamweight) men,Gold,1,0,0
12699,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Ion Baciu,ROU,Men,52 - 57kg (bantamweight) men,Silver,0,1,0
12700,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Simion Popescu,ROU,Men,57 - 63kg (featherweight) men,Bronze,0,0,1
12701,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Roman Rurua,URS,Men,57 - 63kg (featherweight) men,Gold,1,0,0
12702,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Hideo Fujimoto,JPN,Men,57 - 63kg (featherweight) men,Silver,0,1,0
12703,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Petros Galaktopoulos,GRE,Men,63 - 70kg (lightweight) men,Bronze,0,0,1
12704,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Munji Numemura,JPN,Men,63 - 70kg (lightweight) men,Gold,1,0,0
12705,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Stevan Horvat,YUG,Men,63 - 70kg (lightweight) men,Silver,0,1,0
12706,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Karoly Bajko,HUN,Men,70 - 78kg (welterweight) men,Bronze,0,0,1
12707,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Rudolf Vesper,GDR,Men,70 - 78kg (welterweight) men,Gold,1,0,0
12708,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Daniel Sauton Robin,FRA,Men,70 - 78kg (welterweight) men,Silver,0,1,0
12709,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Branislav Simic,YUG,Men,78 - 87kg (middleweight) men,Bronze,0,0,1
12710,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Lothar Metz,GDR,Men,78 - 87kg (middleweight) men,Gold,1,0,0
12711,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Valentin Oleinik,URS,Men,78 - 87kg (middleweight) men,Silver,0,1,0
12712,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Nicolae Martinescu,ROU,Men,87 - 97kg (light-heavyweight) men,Bronze,0,0,1
12713,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Boyan Aleksandrov Radev,BUL,Men,87 - 97kg (light-heavyweight) men,Gold,1,0,0
12714,Mexico (1968),1968,Wrestling,Wrestling Greco-Romano,Nikolai Yakovenko,URS,Men,87 - 97kg (light-heavyweight) men,Silver,0,1,0
12715,Munich (1972),1972,Aquatics,Diving,Giorgio Franco Cagnotto,ITA,Men,10m platform men,Bronze,0,0,1
12716,Munich (1972),1972,Aquatics,Diving,Klaus Dibiasi,ITA,Men,10m platform men,Gold,1,0,0
12717,Munich (1972),1972,Aquatics,Diving,Richard Anthony Rydze,USA,Men,10m platform men,Silver,0,1,0
12718,Munich (1972),1972,Aquatics,Diving,Marina Janicke,GDR,Women,10m platform women,Bronze,0,0,1
12719,Munich (1972),1972,Aquatics,Diving,Ulrika Knape-lindbergh,SWE,Women,10m platform women,Gold,1,0,0
12720,Munich (1972),1972,Aquatics,Diving,Milena Duchkova,TCH,Women,10m platform women,Silver,0,1,0
